,title,lprice,mall,link
81,SO IR SHIRRING SHIRT DRESS - IVORY  NONE,226000,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385412313
82,BRENDA BRENDEN SEOUL low onepiece - grey  NONE,127200,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385311581
83,HIDCOTE white PK dress  none,172100,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385552682
84,THYME Snello Dress / Ivory  NONE,177200,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385096355
85,OEF Back Tie Sheer Dress Light Gray  NONE,221900,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385435473
86,BLUEBRICK Low-rise zipper dress black  none,198300,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385411456
87,JINJUSE CUTOUT WRAP ONE-PIECE [BLACK]  none,213100,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385340032
88,OEF Back Tie Sheer Dress Black  NONE,221900,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385435510
89,AVANT-G Check Shirring Long Dress -BLACK  NONE,68700,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385192043
90,STUDIO 부클 포켓 셔츠 드레스 Boucle Pocket Shirt Dress None 68312669,47682,트렌비,https://search.shopping.naver.com/gate.nhn?id=43444611034
91,수지네 구제 베이지 면혼방 긴팔원피스 여자 S 85 none none,8760,G마켓,https://search.shopping.naver.com/gate.nhn?id=45078505769
92,수지네 구제 베이지 면혼방 긴팔원피스 여자 S 85 none none,8750,옥션,https://search.shopping.naver.com/gate.nhn?id=45060324124
93,None Hijab Fashion Islamic Abaya Dubai Turkey Indian Muslim Long Dress Printed Folded A00106217,98400,네이버,https://search.shopping.naver.com/gate.nhn?id=37830611093
94,BPB 앙투아네트 미니 드레스 _버터 자카드  NONE,134640,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45390023838
95,VIMUN 투웨이 로우라이즈 원피스_연카키  NONE,256000,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385445587
96,LOOKAST 그린 브이넥 프린팅 롱 드레스 / GREEN V NECK PRINTING LONG DRESS  NONE,192000,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385399309
97,AVANT-G Overfit Shirt Long Sleeve Dress - BLACK  none,81500,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385542266
98,SSQR 래글런 스트레치 프린트 미니 원피스 BK_01  none,114200,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385357158
99,VIVACLASSY 체크 뷔스티에 미니 원피스_그레이  none,52600,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385431941
100,VINCENT NAVY 울 롱 드레스_타코이즈  NONE,198300,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385533383
101,VINCENT NAVY 울 롱 드레스_다크그레이  NONE,198300,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385137128
102,23 S S VERSACE 저지 컷아웃 미니 원피스 None B0060337348 (36559254),2763550,리본즈,https://search.shopping.naver.com/gate.nhn?id=44488055896
103,23 S S BALENCIAGA 코튼 저지 롱 원피스 None B0060339513 (36581159),4987500,리본즈,https://search.shopping.naver.com/gate.nhn?id=44466816007
104,23 S S LEMAIRE 노트 실크 미디 원피스 None B0060339559 (36475634),1753700,리본즈,https://search.shopping.naver.com/gate.nhn?id=44374050241
105,23 S S VERSACE 사틴 레이스 미니 원피스 None B0060338923 (36397336),6166450,리본즈,https://search.shopping.naver.com/gate.nhn?id=44308790936
106,23 S S GUCCI COSMOGONIE GG 울 원피스 None B0060337420 (36328300),4918150,리본즈,https://search.shopping.naver.com/gate.nhn?id=44255669422
107,23 S S BALENCIAGA 스트레치 저지 노트 가운 None B0060335947 (36227596),9926550,리본즈,https://search.shopping.naver.com/gate.nhn?id=44211415596
108,살롱 드 욘 Lace Point Chiffon Dress_ Pink  NONE,193400,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45390010633
109,AVANT-G Volume Sleeve Long Hooded Dress - CHARCOAL 기모  NONE,77400,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385324460
110,여성용 미니 양가죽 드레스 라운드넥 민Retail None 가죽 스커트 여성 접이식 A 라인 풀오버 2023,249900,네이버,https://search.shopping.naver.com/gate.nhn?id=45363427612
111,23 S S ZIMMERMANN WONDERLAND FLUTTER 실크 미디 원피스 None B0060338289 (36716900),1661550,리본즈,https://search.shopping.naver.com/gate.nhn?id=44599529556
112,23 S S SAINT LAURENT 큐프라 미니 원피스 None B0060340084 (36716904),8496800,리본즈,https://search.shopping.naver.com/gate.nhn?id=44599528177
113,SAINT LAURENT 실크 비스코스 벨벳 미니 원피스 None B0060319527 (36698527),8165250,리본즈,https://search.shopping.naver.com/gate.nhn?id=44574485955
114,23 S S SAINT LAURENT 실크 롱 원피스 None B0060339098 (36328290),18959150,리본즈,https://search.shopping.naver.com/gate.nhn?id=44255768051
115,23 S S LANVIN 프린트 미니 원피스 W 러플 None B0060339960 (36131294),2504200,리본즈,https://search.shopping.naver.com/gate.nhn?id=44143485028
116,23 S S SAINT LAURENT 비스코스 롱 원피스 None B0060336867 (36131279),8680150,리본즈,https://search.shopping.naver.com/gate.nhn?id=44143411137
117,NONE 여자가을패션 긴 프렌치 클래식 허리보정 보여 슬림 1361041S2329141950,8030,11번가,https://search.shopping.naver.com/gate.nhn?id=42567460304
118,ETRE AU SOMMET 투웨이 스트랩 롱 슬리브 원피스 핑크  none,55800,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385242145
119,23 F W ZIMMERMANN DEVI 엠브로이드 린넨 미니 원피스 None B0060388010 (36716895),3599550,리본즈,https://search.shopping.naver.com/gate.nhn?id=44599387372
120,23 S S LEMAIRE GUSSET 카라 코튼 실크 미디 원피스 None B0060336310 (36397243),1213150,리본즈,https://search.shopping.naver.com/gate.nhn?id=44308795706
121,23 S S VERSACE 로고 ORCHID 프린트 저지 미디 원피스 None B0060339242 (36328299),3156850,리본즈,https://search.shopping.naver.com/gate.nhn?id=44255684761
122,23 S S ZIMMERMANN 하이 TIDE 프릴 린넨 미디 원피스 None B0060336454 (36195060),1396500,리본즈,https://search.shopping.naver.com/gate.nhn?id=44201994406
123,23 S S ISABEL MARANT LACELI 장식 미니 원피스 None B0060333718 (36158542),2490900,리본즈,https://search.shopping.naver.com/gate.nhn?id=44166640843
124,23 F W KHAITE PIA 스트레치 비스코스 미디 원피스 None B0060343460 (36131322),5814950,리본즈,https://search.shopping.naver.com/gate.nhn?id=44143435733
125,23 S S MARINE SERRE 리브드 코튼 미니 원피스 None B0060332945 (36131229),875900,리본즈,https://search.shopping.naver.com/gate.nhn?id=44143514823
126,23 S S SAINT LAURENT 비스코스 탱크 탑 원피스 None B0060338258 (36088159),7550600,리본즈,https://search.shopping.naver.com/gate.nhn?id=44105702282
127,23 S S ISABEL MARANT NALATIA 실크 쉬폰 미니 원피스 None B0060337399 (36716896),1609300,리본즈,https://search.shopping.naver.com/gate.nhn?id=44599472969
128,23 S S JACQUEMUS 라 로브 DUNA 트윌 프릴 미니 원피스 None B0060338848 (36716874),1482000,리본즈,https://search.shopping.naver.com/gate.nhn?id=44599406047
129,23 F W MONCLER 맥시 니트 비스코스 블렌드 크레페 원피스 None B0060383240 (36581164),3640400,리본즈,https://search.shopping.naver.com/gate.nhn?id=44466166348
130,23 S S ALEXANDER MCQUEEN 플리트 코튼 포플린 셔츠 원피스 None B0060334380 (36475642),6418200,리본즈,https://search.shopping.naver.com/gate.nhn?id=44374067823
131,23 S S ALEXANDER WANG 바디콘 탱크 레더 미니 원피스 None B0060329628 (36397344),2411100,리본즈,https://search.shopping.naver.com/gate.nhn?id=44308797937
132,23 S S SACAI 핀스트라이프 코튼 트윌 코르셋 미니 원피스 None B0060332540 (36397242),1306250,리본즈,https://search.shopping.naver.com/gate.nhn?id=44308787593
133,23 S S KHAITE YARA 코튼 비스코스 스트랩리스 미디 원피스 None B0060339404 (36328292),3990950,리본즈,https://search.shopping.naver.com/gate.nhn?id=44255756811
134,23 S S ISABEL MARANT ORFRA 프린트 실크 루렉스 미니 원피스 None B0060326348 (36716757),2390200,리본즈,https://search.shopping.naver.com/gate.nhn?id=44599556913
135,23 F W MAX MARA EUCLIDE 사틴 비스코스 점프수트 None B0060342403 (36698543),2277150,리본즈,https://search.shopping.naver.com/gate.nhn?id=44574328620
136,23 S S MAX MARA DEODARA 거즈 V 넥 미디 원피스 None B0060336978 (36698540),1130500,리본즈,https://search.shopping.naver.com/gate.nhn?id=44574451867
137,23 S S MAX MARA SAIO 벨트 코튼 포플린 미디 원피스 None B0060338867 (36606684),1505750,리본즈,https://search.shopping.naver.com/gate.nhn?id=44488052707
138,23 S S OFF WHITE 리브드 저지 프린트 로고 미니 원피스 None B0060331983 (36581157),639350,리본즈,https://search.shopping.naver.com/gate.nhn?id=44466209312
139,23 S S ALEXANDER WANG 스트레치 비스코스 미니 원피스 WLOGO 디테일 None B006033525 (36328303),1929450,리본즈,https://search.shopping.naver.com/gate.nhn?id=44255740676
140,23 S S MAX MARA VOLTA 프린트 실크 조젯 미디 원피스 None B0060337801 (36282711),2076700,리본즈,https://search.shopping.naver.com/gate.nhn?id=44233928900
141,23 F W ISABEL MARANT BIRONA 코튼 실크 맥시 HALTER 원피스 None B0060387706 (36716907),3247100,리본즈,https://search.shopping.naver.com/gate.nhn?id=44599511774
142,None 2022 Arrival Size O-neck Maxi Office Style Temperament 2022 Zanzea Sweater Dress Longo Split Dr,52300,유닛808,https://search.shopping.naver.com/gate.nhn?id=45135125154
143,None 레이스 업 무릎 길이 기타 여름 코튼 솔리드 스트레이트 여성 하프 슬리브 v넥 드레스  v-넥 원피스,35505,프리쉽,https://search.shopping.naver.com/gate.nhn?id=39389327518
144,플레이스 스튜디오 솔리드 무톤 플리스 양털 레더 무스탕 자켓 Solid Mouton Leather Mustang none,71460,네이버,https://search.shopping.naver.com/gate.nhn?id=43138207540
145,오호스 밴디지 메시 티셔츠 NONE,43200,네이버,https://search.shopping.naver.com/gate.nhn?id=44562234084
146,플레이스스튜디오 플레이스 스튜디오 오버핏 레더 양털 무톤 무스탕 자켓 Overfit Leather Fleece Womens Mouton Mustang none,83250,네이버,https://search.shopping.naver.com/gate.nhn?id=43138144980
147,로제프란츠 ROSEFRANTZ Heart Painting Crop Hoodie Mealnge none,37170,네이버,https://search.shopping.naver.com/gate.nhn?id=44125062376
148,ILLIGO 일리고 CRYSTAL CROPPED T-SHIRT none,32000,네이버,https://search.shopping.naver.com/gate.nhn?id=42344182890
149,로제프란츠 ROSEFRANTZ Fleece Crop Hoodie Indie none,36580,네이버,https://search.shopping.naver.com/gate.nhn?id=38574633612
150,바우프 프린트 컷아웃 크롭티 크림 NONE,48300,네이버,https://search.shopping.naver.com/gate.nhn?id=41870695497
151,보헤미안 BASIC SLEEVELE CROP TOP NONE,28000,네이버,https://search.shopping.naver.com/gate.nhn?id=45058872878
152,FACE NONE SLEEVES T-SHIRT,59000,네이버,https://search.shopping.naver.com/gate.nhn?id=44108031149
153,FACE NONE FN NYLON RING-DETAIL TOP IVROY,138000,네이버,https://search.shopping.naver.com/gate.nhn?id=44036881312
154,ILLIGO 일리고 IG CROPPED HOODY MINT none,31500,네이버,https://search.shopping.naver.com/gate.nhn?id=44588998642
155,미드나잇무브 미드나잇 무브 y2k mtm none,19500,네이버,https://search.shopping.naver.com/gate.nhn?id=43879629975
156,오호스 크롭 백 저지 티셔츠 크롭티 ped none,69000,네이버,https://search.shopping.naver.com/gate.nhn?id=43805685739
157,미드나잇무브 y2k T off none,43740,네이버,https://search.shopping.naver.com/gate.nhn?id=43216901391
